Date Time, Water Level, Sigma, I, L 
2016-01-01 00:00,1.126,0.000,0,0
2016-01-01 01:00,0.600,0.015,0,0
2016-01-01 02:00,0.364,0.017,0,0
2016-01-01 03:00,0.443,0.013,0,0
2016-01-01 04:00,0.897,0.017,0,0
2016-01-01 05:00,1.555,0.014,0,0
2016-01-01 06:00,2.293,0.013,0,0
2016-01-01 07:00,2.854,0.015,0,0
2016-01-01 08:00,3.158,0.015,0,0
2016-01-01 09:00,3.161,0.013,0,0
2016-01-01 10:00,2.793,0.010,0,0
2016-01-01 11:00,2.226,0.016,0,0
2016-01-01 12:00,1.540,0.012,0,0
2016-01-01 13:00,0.967,0.014,0,0
2016-01-01 14:00,0.645,0.010,0,0
2016-01-01 15:00,0.567,0.010,0,0
2016-01-01 16:00,0.836,0.012,0,0
2016-01-01 17:00,1.398,0.017,0,0
2016-01-01 18:00,2.062,0.015,0,0
2016-01-01 19:00,2.669,0.011,0,0
2016-01-01 20:00,2.983,0.009,0,0
2016-01-01 21:00,3.092,0.010,0,0
2016-01-01 22:00,2.839,0.010,0,0
2016-01-01 23:00,2.340,0.014,0,0
2016-01-02 00:00,1.702,0.012,0,0
2016-01-02 01:00,1.034,0.014,0,0
2016-01-02 02:00,0.621,0.009,0,0
2016-01-02 03:00,0.449,0.011,0,0
2016-01-02 04:00,0.591,0.008,0,0
2016-01-02 05:00,1.057,0.011,0,0
2016-01-02 06:00,1.696,0.013,0,0
2016-01-02 07:00,2.357,0.011,0,0
2016-01-02 08:00,2.833,0.008,0,0
2016-01-02 09:00,3.075,0.008,0,0
2016-01-02 10:00,2.993,0.008,0,0
2016-01-02 11:00,2.633,0.009,0,0
2016-01-02 12:00,2.077,0.009,0,0
2016-01-02 13:00,1.446,0.009,0,0
2016-01-02 14:00,0.987,0.009,0,0
2016-01-02 15:00,0.678,0.007,0,0
2016-01-02 16:00,0.672,0.008,0,0
2016-01-02 17:00,0.949,0.007,0,0
2016-01-02 18:00,1.476,0.009,0,0
2016-01-02 19:00,2.093,0.007,0,0
2016-01-02 20:00,2.560,0.012,0,0
2016-01-02 21:00,2.906,0.006,0,0
2016-01-02 22:00,2.959,0.007,0,0
2016-01-02 23:00,2.702,0.007,0,0
2016-01-03 00:00,2.231,0.007,0,0
2016-01-03 01:00,1.590,0.009,0,0
2016-01-03 02:00,1.074,0.006,0,0
2016-01-03 03:00,0.712,0.009,0,0
2016-01-03 04:00,0.602,0.010,0,0
2016-01-03 05:00,0.799,0.009,0,0
2016-01-03 06:00,1.260,0.010,0,0
2016-01-03 07:00,1.912,0.012,0,0
2016-01-03 08:00,2.533,0.011,0,0
2016-01-03 09:00,2.958,0.009,0,0
2016-01-03 10:00,3.159,0.009,0,0
2016-01-03 11:00,3.003,0.008,0,0
2016-01-03 12:00,2.602,0.008,0,0
2016-01-03 13:00,2.047,0.014,0,0
2016-01-03 14:00,1.472,0.014,0,0
2016-01-03 15:00,0.974,0.013,0,0
2016-01-03 16:00,0.706,0.009,0,0
2016-01-03 17:00,0.692,0.010,0,0
2016-01-03 18:00,0.981,0.013,0,0
2016-01-03 19:00,1.479,0.013,0,0
2016-01-03 20:00,2.088,0.014,0,0
2016-01-03 21:00,2.578,0.013,0,0
2016-01-03 22:00,2.895,0.017,0,0
2016-01-03 23:00,2.937,0.018,0,0
2016-01-04 00:00,2.684,0.014,0,0
2016-01-04 01:00,2.188,0.014,0,0
2016-01-04 02:00,1.627,0.015,0,0
2016-01-04 03:00,1.110,0.016,0,0
2016-01-04 04:00,0.774,0.018,0,0
2016-01-04 05:00,0.684,0.016,0,0
2016-01-04 06:00,0.934,0.013,0,0
2016-01-04 07:00,1.383,0.015,0,0
2016-01-04 08:00,2.039,0.012,0,0
2016-01-04 09:00,2.641,0.012,0,0
2016-01-04 10:00,3.041,0.010,0,0
2016-01-04 11:00,3.199,0.010,0,0
2016-01-04 12:00,3.059,0.009,0,0
2016-01-04 13:00,2.631,0.009,0,0
2016-01-04 14:00,2.032,0.011,0,0
2016-01-04 15:00,1.406,0.016,0,0
2016-01-04 16:00,0.926,0.012,0,0
2016-01-04 17:00,0.639,0.007,0,0
2016-01-04 18:00,0.678,0.008,0,0
2016-01-04 19:00,0.950,0.009,0,0
2016-01-04 20:00,1.471,0.009,0,0
2016-01-04 21:00,2.071,0.008,0,0
2016-01-04 22:00,2.566,0.011,0,0
2016-01-04 23:00,2.848,0.008,0,0
2016-01-05 00:00,2.859,0.009,0,0
2016-01-05 01:00,2.551,0.008,0,0
2016-01-05 02:00,2.097,0.015,0,0
2016-01-05 03:00,1.474,0.009,0,0
2016-01-05 04:00,0.995,0.008,0,0
2016-01-05 05:00,0.695,0.009,0,0
2016-01-05 06:00,0.609,0.006,0,0
2016-01-05 07:00,0.858,0.007,0,0
2016-01-05 08:00,1.380,0.008,0,0
2016-01-05 09:00,2.029,0.010,0,0
2016-01-05 10:00,2.626,0.009,0,0
2016-01-05 11:00,3.025,0.006,0,0
2016-01-05 12:00,3.150,0.006,0,0
2016-01-05 13:00,2.976,0.007,0,0
2016-01-05 14:00,2.509,0.009,0,0
2016-01-05 15:00,1.876,0.015,0,0
2016-01-05 16:00,1.244,0.009,0,0
2016-01-05 17:00,0.740,0.010,0,0
2016-01-05 18:00,0.514,0.006,0,0
2016-01-05 19:00,0.550,0.007,0,0
2016-01-05 20:00,0.875,0.005,0,0
2016-01-05 21:00,1.449,0.011,0,0
2016-01-05 22:00,2.062,0.011,0,0
2016-01-05 23:00,2.546,0.005,0,0
2016-01-06 00:00,2.837,0.007,0,0
2016-01-06 01:00,2.794,0.007,0,0
2016-01-06 02:00,2.501,0.006,0,0
2016-01-06 03:00,1.965,0.010,0,0
2016-01-06 04:00,1.348,0.012,0,0
2016-01-06 05:00,0.834,0.009,0,0
2016-01-06 06:00,0.542,0.008,0,0
2016-01-06 07:00,0.556,0.008,0,0
2016-01-06 08:00,0.860,0.009,0,0
2016-01-06 09:00,1.437,0.010,0,0
2016-01-06 10:00,2.148,0.014,0,0
2016-01-06 11:00,2.720,0.012,0,0
2016-01-06 12:00,3.106,0.013,0,0
2016-01-06 13:00,3.186,0.013,0,0
2016-01-06 14:00,2.896,0.013,0,0
2016-01-06 15:00,2.330,0.014,0,0
2016-01-06 16:00,1.598,0.013,0,0
2016-01-06 17:00,0.905,0.011,0,0
2016-01-06 18:00,0.446,0.012,0,0
2016-01-06 19:00,0.200,0.011,0,0
2016-01-06 20:00,0.295,0.013,0,0
2016-01-06 21:00,0.745,0.014,0,0
2016-01-06 22:00,1.402,0.018,0,0
2016-01-06 23:00,2.089,0.015,0,0
2016-01-07 00:00,2.581,0.011,0,0
2016-01-07 01:00,2.817,0.011,0,0
2016-01-07 02:00,2.754,0.013,0,0
2016-01-07 03:00,2.369,0.016,0,0
2016-01-07 04:00,1.796,0.017,0,0
2016-01-07 05:00,1.126,0.015,0,0
2016-01-07 06:00,0.648,0.015,0,0
2016-01-07 07:00,0.384,0.014,0,0
2016-01-07 08:00,0.471,0.014,0,0
2016-01-07 09:00,0.864,0.016,0,0
2016-01-07 10:00,1.548,0.015,0,0
2016-01-07 11:00,2.312,0.015,0,0
2016-01-07 12:00,2.941,0.017,0,0
2016-01-07 13:00,3.289,0.013,0,0
2016-01-07 14:00,3.290,0.016,0,0
2016-01-07 15:00,2.922,0.015,0,0
2016-01-07 16:00,2.283,0.016,0,0
2016-01-07 17:00,1.493,0.015,0,0
2016-01-07 18:00,0.850,0.014,0,0
2016-01-07 19:00,0.367,0.013,0,0
2016-01-07 20:00,0.206,0.013,0,0
2016-01-07 21:00,0.446,0.010,0,0
2016-01-07 22:00,0.972,0.013,0,0
2016-01-07 23:00,1.739,0.017,0,0
